id,MSISID,LEVEL,URL,geometry_wkt
17423,4643-XY-GMS-0011,第五類,http://210.69.23.171/MSIS/PDF/4643-XY-GMS-0011.pdf,"LINESTRING (121.57896439698446 25.031826473012128, 121.5789920582747 25.031784087887864, 121.57903284385533 25.031679646273375, 121.57903568197601 25.031666732989148)"
17424,4643-XY-GMS-0017,第五類,http://210.69.23.171/MSIS/PDF/4643-XY-GMS-0017.pdf,"LINESTRING (121.57901196494956 25.030995858861488, 121.57904605297409 25.030974689954466, 121.5790010088182 25.03088787383905)"
17425,4643-XY-GMS-0015,第四類,http://210.69.23.171/MSIS/PDF/4643-XY-GMS-0015.pdf,"LINESTRING (121.57928866992683 25.031511724051942, 121.57929925926678 25.03157248169755, 121.57928671287652 25.03167698886144, 121.57925643696134 25.03177242211288, 121.57925632511106 25.031817581070108, 121.57926245700126 25.031892831621384, 121.57927193630287 25.03191953347941, 121.57928194313257 25.031941829820358)"
17426,4644-XY-SSC-0008,第五類,http://210.69.23.171/MSIS/PDF/4644-XY-SSC-0008.pdf,"LINESTRING (121.57746005706254 25.034553670825698, 121.57742179764881 25.03449144832663)"
17427,4644-XY-GMS-0012,第五類,http://210.69.23.171/MSIS/PDF/4644-XY-GMS-0012.pdf,"LINESTRING (121.57743295410813 25.03454094685783, 121.57739697910452 25.034469569223173)"
17428,4644-XY-GGR-0009,第五類,http://210.69.23.171/MSIS/PDF/4644-XY-GGR-0009.pdf,"LINESTRING (121.57744593973256 25.034560167436396, 121.57743295410813 25.03454094685783)"
17429,4644-XY-SSC-0007,第五類,http://210.69.23.171/MSIS/PDF/4644-XY-SSC-0007.pdf,"LINESTRING (121.57724246919238 25.03429747027513, 121.5771950442695 25.03425529686916, 121.5771906620953 25.034251476274996)"
17430,4644-XY-GMS-0011,第五類,http://210.69.23.171/MSIS/PDF/4644-XY-GMS-0011.pdf,"LINESTRING (121.57736568164957 25.034450039219063, 121.57743743055809 25.034563455073798)"
17431,4644-XY-GMS-0010,第五類,http://210.69.23.171/MSIS/PDF/4644-XY-GMS-0010.pdf,"LINESTRING (121.5773627645313 25.03445407886276, 121.57743100492087 25.03456927797469)"
17432,4644-XY-RSG-0008,第五類,http://210.69.23.171/MSIS/PDF/4644-XY-RSG-0008.pdf,"LINESTRING (121.57724246919238 25.03429747027513, 121.57732004824375 25.034369776474193)"
17433,4644-XY-RSG-0006,第五類,http://210.69.23.171/MSIS/PDF/4644-XY-RSG-0006.pdf,"LINESTRING (121.57713979263634 25.034230023989934, 121.5773627645313 25.03445407886276)"
17434,4644-XY-PTA-0001,第五類,http://210.69.23.171/MSIS/PDF/4644-XY-PTA-0001.pdf,"LINESTRING (121.58167072289261 25.036807117244226, 121.58172640021937 25.03668741950013, 121.58153316116133 25.036550559461247, 121.58158442539104 25.03654580965192)"
17435,4653-NH-RCR-0004,第五類,http://210.69.23.171/MSIS/PDF/4653-NH-RCR-0004.pdf,"LINESTRING (121.57997562895181 25.084589886210534, 121.57979156282475 25.084588118391, 121.57964262401835 25.084574539733588, 121.57943040749137 25.08453223943965)"
17436,4653-NH-SOT-0001,第四類,http://210.69.23.171/MSIS/PDF/4653-NH-SOT-0001.pdf,"LINESTRING (121.5823661258238 25.08471282765859, 121.58267899775916 25.084690759357347, 121.58269008636104 25.08469110895248, 121.5827025095534 25.084699686067793)"
